Category,Subcategory,Monday,Tuesday,Wednesday,Thursday,Friday
BREAKFAST,Morning Drink,Tomato & coriander soup,Dal soup,Chocolate milk,Milk with cornflakes,Hot sweet & sour soup
BREAKFAST,Fruit,Pineapple,Kiwi & strawberry mix,Apple,Pineapple,Papaya
BREAKFAST,Morning Snack,Tandoori paneer sandwich in panni bread,Methi thepla wrap with green chutney,Veg & kidney beans tikki in wheat slider with coriander amrod ki chutney,Moong dal cheela with green chutney,Bhaji with wheat pav
LUNCH,Main course - Dish 1,Black chana curry,Black masoor tadka,Green moong dal tadka,Dal makhani,Dal vada
LUNCH,Main course - Dish 2,Mushroom,Chopped palak with baby potato masala,Matar paneer,Gajar methi aloo,Pumpkin masala
LUNCH,Main course - Bread,Samber,Spinach roti,Tawa roti,Millet roti,Tawa roti
LUNCH,Main course - Rice,Lemon rice,Nuts,Steamed rice,Steamed rice,Steamed rice
LUNCH,Accompaniments,Steamed rice,Red sauce pasta,Accompaniments,Dahi vada,Plain curd
LUNCH,Accompaniments 2,Mix veg bathua raita,Boondi raita,Cheddar spinach pinwheel,Fresh farm house salad,Sprouts & peanut salad
LUNCH,Dessert,Ras malai*,Coconut burfi*,Icecream*,Fruit custard pudding,nothing
EVENING SNACK,Snack,Oats & nuts cookies,Aloo puff with green chutney,Butter popcorn,Falafel with tzatziki,Lactose+
EVENING SNACK,Evening Drink,Hot chocolate milk,Vanilla milk,Fresh Lemonade,Fresh kinnu juice,Chocolate milk shake
